t,x,y,v_x,v_y
0,0,10,0.0517962,0
7.96141,0.412352,10,0.0517914,4.81703e-07
15.9228,0.824665,10,0.0517866,9.69366e-07
23.8024,1.2327,10,0.0517818,1.45798e-06
31.6819,1.6407,10,0.0517769,1.95263e-06
39.5615,2.04866,10,0.051772,2.4534e-06
47.3497,2.45185,10.0001,0.0517671,2.9545e-06
55.1379,2.855,10.0001,0.0517621,3.46178e-06
62.9261,3.25812,10.0001,0.0517572,3.97535e-06
70.7143,3.6612,10.0002,0.0517521,4.49531e-06
78.3788,4.05783,10.0002,0.0517472,5.01336e-06
86.0432,4.45442,10.0002,0.0517421,5.5378e-06
93.6255,4.84673,10.0003,0.0517371,6.06302e-06
101.208,5.23899,10.0003,0.0517321,6.59471e-06
108.79,5.63122,10.0004,0.051727,7.13296e-06
116.372,6.02341,10.0004,0.0517219,7.6779e-06
123.834,6.40933,10.0005,0.0517168,8.22081e-06
131.296,6.79521,10.0006,0.0517116,8.7704e-06
138.758,7.18106,10.0006,0.0517065,9.32679e-06
146.22,7.56686,10.0007,0.0517012,9.89008e-06
153.563,7.9465,10.0008,0.0516961,1.04513e-05
160.906,8.32609,10.0008,0.0516908,1.10194e-05
168.249,8.70565,10.0009,0.0516856,1.15945e-05
175.593,9.08517,10.001,0.0516803,1.21767e-05
182.819,9.45862,10.0011,0.051675,1.27568e-05
190.046,9.83204,10.0012,0.0516697,1.33441e-05
197.272,10.2054,10.0013,0.0516644,1.39385e-05
204.409,10.5741,10.0014,0.051659,1.45329e-05
211.545,10.9427,10.0015,0.0516537,1.51345e-05
218.682,11.3113,10.0016,0.0516483,1.57435e-05
225.818,11.6799,10.0017,0.0516428,1.63601e-05
232.817,12.0414,10.0019,0.0516374,1.69723e-05
239.817,12.4028,10.002,0.051632,1.7592e-05
246.816,12.7641,10.0021,0.0516265,1.82193e-05
253.815,13.1254,10.0022,0.051621,1.88544e-05
260.703,13.481,10.0024,0.0516155,1.94871e-05
267.591,13.8365,10.0025,0.0516099,2.01275e-05
274.479,14.1919,10.0026,0.0516044,2.07758e-05
281.366,14.5474,10.0028,0.0515988,2.14321e-05
288.254,14.9028,10.0029,0.0515931,2.20965e-05
295.033,15.2525,10.0031,0.0515875,2.27585e-05
301.811,15.6021,10.0032,0.0515818,2.34286e-05
308.59,15.9518,10.0034,0.0515761,2.41069e-05
315.284,16.297,10.0036,0.0515704,2.47851e-05
321.978,16.6422,10.0037,0.0515647,2.54716e-05
328.672,16.9873,10.0039,0.0515589,2.61666e-05
335.282,17.3281,10.0041,0.0515531,2.68613e-05
341.893,17.6689,10.0043,0.0515473,2.75646e-05
348.503,18.0097,10.0044,0.0515415,2.82766e-05
355.114,18.3504,10.0046,0.0515356,2.89974e-05
361.597,18.6845,10.0048,0.0515298,2.9713e-05
368.081,19.0185,10.005,0.0515239,3.04373e-05
374.564,19.3526,10.0052,0.051518,3.11706e-05
381.047,19.6865,10.0054,0.051512,3.19129e-05
387.406,20.0141,10.0056,0.0515061,3.26498e-05
393.764,20.3416,10.0058,0.0515001,3.33957e-05
