t,x,y,v_x,v_y
0,0,8,0.0517962,0
7.97536,0.413074,8,0.0517914,3.88123e-07
15.9507,0.82611,8.00001,0.0517865,7.81075e-07
23.9261,1.23911,8.00001,0.0517816,1.17894e-06
31.8021,1.64692,8.00002,0.0517767,1.57673e-06
39.678,2.05469,8.00004,0.0517718,1.97948e-06
47.554,2.46242,8.00006,0.0517668,2.38726e-06
55.3387,2.86539,8.00008,0.0517618,2.79533e-06
63.1233,3.26832,8.0001,0.0517568,3.20847e-06
70.908,3.67121,8.00013,0.0517518,3.62678e-06
78.5957,4.06904,8.00016,0.0517467,4.04503e-06
86.2834,4.46683,8.00019,0.0517417,4.46847e-06
93.8886,4.86032,8.00022,0.0517366,4.89258e-06
101.494,5.25378,8.00026,0.0517315,5.32195e-06
109.099,5.64719,8.0003,0.0517264,5.75666e-06
116.597,6.03498,8.00035,0.0517213,6.19053e-06
124.094,6.42274,8.0004,0.0517161,6.62976e-06
131.591,6.81045,8.00045,0.0517109,7.07445e-06
139.089,7.19813,8.0005,0.0517057,7.52469e-06
146.48,7.58027,8.00056,0.0517005,7.97406e-06
153.871,7.96237,8.00062,0.0516953,8.429e-06
161.262,8.34443,8.00069,0.05169,8.8896e-06
168.653,8.72645,8.00075,0.0516846,9.35596e-06
175.926,9.10237,8.00082,0.0516793,9.82062e-06
183.2,9.47824,8.0009,0.051674,1.0291e-05
190.474,9.85408,8.00097,0.0516686,1.07673e-05
197.747,10.2299,8.00105,0.0516632,1.12495e-05
204.93,10.6009,8.00114,0.0516578,1.17317e-05
212.113,10.972,8.00122,0.0516524,1.22198e-05
219.206,11.3384,8.00131,0.051647,1.27079e-05
226.3,11.7047,8.0014,0.0516415,1.3202e-05
233.393,12.071,8.0015,0.051636,1.37022e-05
240.398,12.4327,8.00159,0.0516305,1.42024e-05
247.403,12.7943,8.0017,0.051625,1.47087e-05
254.409,13.156,8.0018,0.0516194,1.52213e-05
261.414,13.5175,8.00191,0.0516138,1.57403e-05
268.331,13.8746,8.00202,0.0516082,1.62592e-05
275.249,14.2316,8.00213,0.0516025,1.67846e-05
282.167,14.5885,8.00225,0.0515968,1.73165e-05
289.085,14.9454,8.00237,0.0515911,1.78551e-05
295.869,15.2954,8.0025,0.0515854,1.83899e-05
302.654,15.6454,8.00262,0.0515797,1.89313e-05
309.438,15.9953,8.00275,0.0515739,1.94794e-05
316.223,16.3452,8.00289,0.0515681,2.00344e-05
322.9,16.6895,8.00302,0.0515624,2.05873e-05
329.577,17.0338,8.00316,0.0515566,2.11471e-05
336.253,17.378,8.00331,0.0515507,2.17139e-05
342.847,17.7179,8.00345,0.0515449,2.22805e-05
349.441,18.0577,8.0036,0.051539,2.28541e-05
356.034,18.3975,8.00375,0.051533,2.34349e-05
362.523,18.7319,8.00391,0.0515271,2.40134e-05
369.012,19.0662,8.00406,0.0515212,2.45992e-05
375.501,19.4005,8.00423,0.0515152,2.51921e-05
381.989,19.7348,8.00439,0.0515092,2.57925e-05
388.375,20.0637,8.00456,0.0515032,2.63905e-05
394.761,20.3925,8.00473,0.0514972,2.6996e-05
401.147,20.7214,8.0049,0.0514911,2.76089e-05
407.532,21.0501,8.00508,0.051485,2.82295e-05
413.918,21.3789,8.00526,0.0514788,2.88578e-05
420.202,21.7024,8.00545,0.0514726,2.94838e-05
