t,x,y,v_x,v_y
0,0,6,0.0517962,0
7.99498,0.414091,6,0.0517914,2.9304e-07
15.99,0.828142,6,0.0517865,5.89746e-07
23.9849,1.24215,6.00001,0.0517815,8.90177e-07
31.8872,1.65133,6.00002,0.0517766,1.19085e-06
39.7895,2.06046,6.00003,0.0517716,1.49528e-06
47.6918,2.46956,6.00004,0.0517666,1.80354e-06
55.5942,2.87861,6.00006,0.0517615,2.11569e-06
63.3575,3.28044,6.00008,0.0517565,2.4262e-06
71.1209,3.68222,6.0001,0.0517514,2.74059e-06
78.8843,4.08397,6.00012,0.0517463,3.05893e-06
86.6477,4.48568,6.00014,0.0517412,3.38128e-06
94.301,4.88165,6.00017,0.0517361,3.70304e-06
101.954,5.27758,6.0002,0.0517309,4.02884e-06
109.608,5.67347,6.00023,0.0517257,4.35873e-06
117.165,6.06439,6.00027,0.0517205,4.6886e-06
124.723,6.45527,6.0003,0.0517153,5.02259e-06
132.281,6.84611,6.00034,0.0517101,5.36079e-06
139.732,7.23136,6.00038,0.0517048,5.69836e-06
147.183,7.61658,6.00043,0.0516996,6.04015e-06
154.633,8.00176,6.00047,0.0516942,6.38623e-06
162.004,8.38277,6.00052,0.0516889,6.73288e-06
169.375,8.76374,6.00057,0.0516836,7.08387e-06
176.746,9.14467,6.00063,0.0516782,7.43927e-06
184.117,9.52556,6.00068,0.0516728,7.79915e-06
191.358,9.89972,6.00074,0.0516674,8.15715e-06
198.599,10.2738,6.0008,0.051662,8.51961e-06
205.84,10.6479,6.00086,0.0516565,8.88662e-06
213.082,11.022,6.00093,0.051651,9.25825e-06
220.22,11.3906,6.001,0.0516455,9.62921e-06
227.359,11.7593,6.00107,0.0516399,1.00048e-05
234.421,12.124,6.00114,0.0516344,1.0381e-05
241.483,12.4886,6.00121,0.0516288,1.07619e-05
248.545,12.8532,6.00129,0.0516232,1.11476e-05
255.607,13.2177,6.00137,0.0516176,1.15382e-05
262.557,13.5764,6.00145,0.051612,1.19273e-05
269.507,13.9351,6.00154,0.0516063,1.23213e-05
276.456,14.2937,6.00162,0.0516006,1.27203e-05
283.32,14.6479,6.00171,0.0515949,1.31192e-05
290.183,15.0019,6.0018,0.0515892,1.3523e-05
297.046,15.356,6.0019,0.0515834,1.3932e-05
303.909,15.71,6.00199,0.0515776,1.43461e-05
