t,x,y,v_x,v_y
0,0,0,0.0517962,0
8.26446,0.428047,0,0.0517912,0
16.4313,0.850998,0,0.0517861,0
24.5982,1.27391,0,0.051781,0
32.765,1.69677,0,0.0517759,0
40.8231,2.11397,0,0.0517708,0
48.8811,2.53112,0,0.0517656,0
56.9391,2.94822,0,0.0517604,0
64.9038,3.36046,0,0.0517553,0
72.8684,3.77265,0,0.05175,0
80.833,4.18479,0,0.0517448,0
88.6984,4.59177,0,0.0517395,0
96.5637,4.99869,0,0.0517342,0
104.429,5.40558,0,0.0517289,0
112.196,5.80736,0,0.0517235,0
119.964,6.20909,0,0.0517182,0
127.731,6.61079,0,0.0517128,0
135.388,7.00674,0,0.0517074,0
143.046,7.40265,0,0.051702,0
150.703,7.79852,0,0.0516965,0
158.36,8.19435,0,0.051691,0
165.895,8.58385,0,0.0516855,0
173.431,8.9733,0,0.0516799,0
180.966,9.36272,0,0.0516744,0
188.408,9.74724,0,0.0516688,0
195.85,10.1317,0,0.0516632,0
203.291,10.5162,0,0.0516576,0
210.64,10.8958,0,0.0516519,0
217.989,11.2753,0,0.0516463,0
225.338,11.6548,0,0.0516405,0
232.687,12.0343,0,0.0516348,0
239.919,12.4077,0,0.051629,0
247.151,12.7811,0,0.0516233,0
254.383,13.1544,0,0.0516174,0
261.615,13.5277,0,0.0516116,0
268.732,13.895,0,0.0516057,0
275.85,14.2623,0,0.0515998,0
282.967,14.6295,0,0.0515939,0
289.971,14.9908,0,0.051588,0
296.975,15.3521,0,0.0515821,0
303.979,15.7134,0,0.0515761,0
310.983,16.0746,0,0.05157,0
317.876,16.4301,0,0.051564,0
324.769,16.7855,0,0.051558,0
331.661,17.1408,0,0.0515519,0
338.554,17.4961,0,0.0515457,0
345.337,17.8458,0,0.0515396,0
352.121,18.1954,0,0.0515335,0
358.904,18.5449,0,0.0515273,0
365.687,18.8944,0,0.051521,0
372.363,19.2383,0,0.0515148,0
379.038,19.5822,0,0.0515085,0
385.714,19.926,0,0.0515022,0
392.389,20.2698,0,0.0514958,0
398.959,20.6081,0,0.0514894,0
405.528,20.9463,0,0.0514831,0
412.097,21.2845,0,0.0514766,0
418.667,21.6226,0,0.0514701,0
425.132,21.9554,0,0.0514637,0
431.597,22.2881,0,0.0514572,0
438.062,22.6207,0,0.0514506,0
444.424,22.948,0,0.0514441,0
450.786,23.2753,0,0.0514375,0
457.149,23.6025,0,0.0514309,0
463.511,23.9297,0,0.0514242,0
469.772,24.2517,0,0.0514176,0
476.033,24.5736,0,0.0514109,0
482.294,24.8955,0,0.0514041,0
488.556,25.2173,0,0.0513973,0
494.717,25.534,0,0.0513906,0
500.879,25.8506,0,0.0513838,0
507.041,26.1672,0,0.0513769,0
513.202,26.4838,0,0.05137,0
519.266,26.7952,0,0.0513631,0
525.33,27.1067,0,0.0513562,0
531.394,27.4181,0,0.0513492,0
537.458,27.7294,0,0.0513421,0
543.425,28.0358,0,0.0513351,0
549.392,28.3421,0,0.051328,0
555.36,28.6484,0,0.0513209,0
561.327,28.9546,0,0.0513137,0
567.2,29.2559,0,0.0513066,0
573.072,29.5572,0,0.0512994,0
578.945,29.8584,0,0.0512921,0
584.724,30.1549,0,0.0512849,0
590.504,30.4512,0,0.0512777,0
596.283,30.7475,0,0.0512704,0
602.062,31.0438,0,0.051263,0
607.75,31.3354,0,0.0512556,0
613.437,31.6269,0,0.0512482,0
619.125,31.9183,0,0.0512408,0
624.812,32.2097,0,0.0512333,0
630.499,32.5011,0,0.0512257,0
636.059,32.7858,0,0.0512182,0
641.618,33.0706,0,0.0512107,0
647.177,33.3552,0,0.0512031,0
652.737,33.6399,0,0.0511954,0
658.296,33.9244,0,0.0511876,0
663.855,34.209,0,0.0511798,0
669.414,34.4935,0,0.051172,0
674.848,34.7715,0,0.0511642,0
680.282,35.0495,0,0.0511564,0
685.716,35.3275,0,0.0511485,0
691.15,35.6054,0,0.0511405,0
696.462,35.877,0,0.0511327,0
701.773,36.1486,0,0.0511247,0
707.084,36.4201,0,0.0511168,0
712.396,36.6916,0,0.0511087,0
717.707,36.963,0,0.0511006,0
723.019,37.2344,0,0.0510924,0
728.211,37.4997,0,0.0510843,0
733.402,37.7649,0,0.0510762,0
738.594,38.03,0,0.0510679,0
743.786,38.2951,0,0.0510596,0
748.861,38.5542,0,0.0510515,0
753.935,38.8133,0,0.0510432,0
759.01,39.0723,0,0.0510349,0
764.085,39.3313,0,0.0510266,0
769.159,39.5902,0,0.0510181,0
774.234,39.8491,0,0.0510096,0
779.195,40.1021,0,0.0510012,0
784.155,40.355,0,0.0509927,0
789.115,40.6079,0,0.0509842,0
794.076,40.8608,0,0.0509755,0
799.036,41.1137,0,0.0509668,0
803.996,41.3664,0,0.0509581,0
808.845,41.6135,0,0.0509494,0
813.693,41.8605,0,0.0509407,0
818.542,42.1075,0,0.0509319,0
823.39,42.3544,0,0.050923,0
828.239,42.6013,0,0.0509141,0
832.978,42.8425,0,0.0509053,0
837.717,43.0838,0,0.0508964,0
842.457,43.325,0,0.0508874,0
